City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Jamestown,US,2022-09-06 01:29:23,42.097,-79.2353,67.95,74,100,5.75
129,Tasiilaq,GL,2022-09-06 01:33:06,65.6145,-37.6368,41.16,93,89,6.67
130,Coquimbo,CL,2022-09-06 01:33:07,-29.9533,-71.3436,53.33,100,100,6.91
131,Geraldton,AU,2022-09-06 01:33:07,-28.7667,114.6,59.41,82,40,17.27
132,Gaziantep,TR,2022-09-06 01:33:08,37.0594,37.3825,78.73,34,0,12.66
133,Santiago,CL,2022-09-06 01:33:08,-33.4569,-70.6483,69.55,45,0,6.91
134,Richards Bay,ZA,2022-09-06 01:33:08,-28.783,32.0377,66.51,67,100,9.55
135,Port Elizabeth,ZA,2022-09-06 01:33:09,-33.918,25.5701,57.49,62,40,17.27
136,Vizinga,RU,2022-09-06 01:33:09,61.0749,50.1031,41.29,90,100,3.36
137,Cincu,RO,2022-09-06 01:34:10,45.9167,24.8,57.56,84,100,1.97
138,Sterling,US,2022-09-06 01:30:08,39.0062,-77.4286,76.05,89,75,3.44
139,Terrace Bay,CA,2022-09-06 01:34:10,48.7834,-87.1,51.78,69,11,1.81
140,Sioux Lookout,CA,2022-09-06 01:34:11,50.1001,-91.917,64.47,72,40,6.91
141,Homer,US,2022-09-06 01:34:11,59.6425,-151.5483,61.77,80,0,11.5
142,Luanda,AO,2022-09-06 01:32:25,-8.8368,13.2343,68.67,91,44,6.8
143,Eureka,US,2022-09-06 01:34:11,40.8021,-124.1637,70.36,83,22,4.0
144,Camabatela,AO,2022-09-06 01:34:11,-8.1881,15.375,62.65,88,25,1.86
145,Constantine,DZ,2022-09-06 01:34:12,36.365,6.6147,72.81,88,40,3.44
146,Kralendijk,BQ,2022-09-06 01:30:08,12.15,-68.2667,84.18,89,0,14.97
147,Jiuquan,CN,2022-09-06 01:34:12,39.7432,98.5174,74.35,15,0,8.16
148,Hasaki,JP,2022-09-06 01:34:12,35.7333,140.8333,88.29,80,99,14.43
149,Pietersburg,ZA,2022-09-06 01:34:13,-23.9045,29.4688,56.25,38,76,8.05
150,Laramie,US,2022-09-06 01:29:43,41.3114,-105.5911,84.58,12,0,5.75
151,Jumla,NP,2022-09-06 01:34:13,29.2747,82.1838,63.46,78,3,0.67
152,Thompson,CA,2022-09-06 01:34:14,55.7435,-97.8558,75.36,46,40,5.75
153,Taybad,IR,2022-09-06 01:34:14,34.74,60.7756,72.88,18,0,10.78
154,Zaykovo,RU,2022-09-06 01:34:15,57.5613,62.7568,43.45,82,100,2.51
155,Ribeira Grande,PT,2022-09-06 01:34:15,38.5167,-28.7,74.88,85,84,6.49
156,Fort Nelson,CA,2022-09-06 01:30:25,58.8053,-122.7002,58.59,58,75,8.05
157,Coos Bay,US,2022-09-06 01:29:20,43.3665,-124.2179,81.32,78,0,25.32
158,Severo-Kurilsk,RU,2022-09-06 01:34:15,50.6789,156.125,56.21,88,87,7.74
159,Lubao,PH,2022-09-06 01:34:16,14.9167,120.55,85.71,76,100,2.59
160,Marystown,CA,2022-09-06 01:34:16,47.1666,-55.1483,62.8,87,60,9.26
161,Virginia Beach,US,2022-09-06 01:34:17,36.8529,-75.978,80.02,82,75,4.61
162,Borazjan,IR,2022-09-06 01:34:17,29.2666,51.2159,88.11,48,0,2.46
163,Manzanillo,CU,2022-09-06 01:34:17,20.3433,-77.1167,78.84,84,38,3.8
164,Itarema,BR,2022-09-06 01:34:18,-2.9248,-39.9167,78.69,84,15,17.43
165,Pavlodar,KZ,2022-09-06 01:34:18,52.3,76.95,58.8,44,20,8.95
166,Narsaq,GL,2022-09-06 01:34:18,60.9167,-46.05,46.62,88,100,6.13
167,Masallatah,LY,2022-09-06 01:34:19,32.6167,14.0,76.23,84,0,8.19
168,Carnarvon,AU,2022-09-06 01:34:19,-24.8667,113.6333,64.15,55,90,15.3
169,Alexandria,EG,2022-09-06 01:30:22,31.2156,29.9553,77.54,69,0,15.64
170,Ust-Maya,RU,2022-09-06 01:34:20,60.4167,134.5333,63.01,53,63,11.07
171,Beringovskiy,RU,2022-09-06 01:34:20,63.05,179.3167,42.35,73,100,15.79
172,Mitsamiouli,KM,2022-09-06 01:34:20,-11.3847,43.2844,74.08,76,0,10.74
173,Catamarca,AR,2022-09-06 01:30:59,-28.4696,-65.7852,59.68,25,0,9.42
174,Broome,US,2022-09-06 01:34:21,42.2506,-75.833,70.02,98,100,3.44
175,Ponta Do Sol,PT,2022-09-06 01:34:21,32.6667,-17.1,70.72,69,1,2.55
176,Victoria,HK,2022-09-06 01:30:24,22.2855,114.1577,88.32,56,44,5.01
177,Mabaruma,GY,2022-09-06 01:34:22,8.2,-59.7833,74.19,97,88,2.73
178,Provideniya,RU,2022-09-06 01:34:22,64.3833,-173.3,48.36,93,100,11.18
179,Ucluelet,CA,2022-09-06 01:34:22,48.9329,-125.5528,64.71,86,31,1.01
180,Princeton,US,2022-09-06 01:34:23,25.5384,-80.4089,86.02,83,0,5.75
181,Barrow,US,2022-09-06 01:32:01,71.2906,-156.7887,41.02,75,100,12.66
182,Olafsvik,IS,2022-09-06 01:34:23,64.8945,-23.7142,50.22,72,97,5.08
183,Pisco,PE,2022-09-06 01:32:11,-13.7,-76.2167,60.85,82,100,6.91
184,Whitecourt,CA,2022-09-06 01:35:24,54.1502,-115.6855,61.84,33,40,23.02
185,Saint-Georges,GD,2022-09-06 01:35:24,12.0564,-61.7485,83.88,79,75,12.66
186,Jalu,LY,2022-09-06 01:35:24,29.0331,21.5482,78.84,52,0,8.93
187,Broken Hill,AU,2022-09-06 01:31:27,-31.95,141.4333,63.99,34,5,8.25
188,Tomatlan,MX,2022-09-06 01:35:25,19.9333,-105.25,74.97,95,100,5.97
189,Bojnurd,IR,2022-09-06 01:35:25,37.4747,57.329,58.95,47,0,4.61
190,Faanui,PF,2022-09-06 01:35:25,-16.4833,-151.75,78.1,75,10,15.01
191,Gunjur,GM,2022-09-06 01:35:26,13.2019,-16.7339,77.07,94,40,0.0
192,Kozyatyn,UA,2022-09-06 01:35:26,49.7143,28.8339,40.39,82,5,4.21
193,Port Hardy,CA,2022-09-06 01:30:44,50.6996,-127.4199,64.58,63,75,4.61
194,Quelimane,MZ,2022-09-06 01:35:26,-17.8786,36.8883,65.43,92,0,3.96
195,Kloulklubed,PW,2022-09-06 01:35:27,7.0419,134.2556,86.5,71,99,7.67
196,Bayji,IQ,2022-09-06 01:35:27,34.9311,43.487,86.5,29,0,7.4
197,Upernavik,GL,2022-09-06 01:35:27,72.7868,-56.1549,40.57,86,100,28.48
198,Celestun,MX,2022-09-06 01:35:28,20.8667,-90.4,82.06,78,34,14.61
199,Clearwater,US,2022-09-06 01:33:52,27.9659,-82.8001,86.94,74,0,10.0
200,Springdale,US,2022-09-06 01:35:29,36.1867,-94.1288,75.33,88,0,4.61
201,Port-Gentil,GA,2022-09-06 01:35:29,-0.7193,8.7815,75.74,84,24,12.59
202,Filingue,NE,2022-09-06 01:35:29,14.3521,3.3168,85.05,62,8,12.57
203,Bonavista,CA,2022-09-06 01:35:30,48.6499,-53.1147,59.61,92,100,13.56
204,Prichard,US,2022-09-06 01:31:24,30.7388,-88.0789,80.91,82,20,0.0
205,Paracuru,BR,2022-09-06 01:34:12,-3.41,-39.0306,80.11,82,29,15.97
206,Rio Gallegos,AR,2022-09-06 01:34:42,-51.6226,-69.2181,35.65,64,0,19.57
207,Bengkulu,ID,2022-09-06 01:35:31,-3.8004,102.2655,79.95,78,99,0.6
208,Knysna,ZA,2022-09-06 01:35:31,-34.0363,23.0471,51.98,68,28,7.25
209,Plettenberg Bay,ZA,2022-09-06 01:33:42,-34.0527,23.3716,52.18,67,10,10.18
210,Cherskiy,RU,2022-09-06 01:35:32,68.75,161.3,47.37,57,100,12.15
211,Lermontovka,RU,2022-09-06 01:35:32,47.1453,134.3383,63.7,92,100,5.03
212,Dudinka,RU,2022-09-06 01:35:32,69.4058,86.1778,38.62,98,100,11.92
213,Belaya Gora,RU,2022-09-06 01:35:33,68.5333,146.4167,57.33,34,74,9.17
214,Udachnyy,RU,2022-09-06 01:33:34,66.4167,112.4,39.45,93,100,6.93
215,Sorong,ID,2022-09-06 01:35:33,-0.8833,131.25,83.19,72,21,4.09
216,Balaipungut,ID,2022-09-06 01:35:34,1.05,101.2833,82.72,80,75,1.88
217,Alofi,NU,2022-09-06 01:35:34,-19.0595,-169.9187,82.29,65,40,9.22
218,Gamba,GA,2022-09-06 01:35:34,-2.65,10.0,73.11,86,23,7.09
219,Floro,NO,2022-09-06 01:35:34,61.5996,5.0328,53.56,87,43,3.44
220,El Alto,PE,2022-09-06 01:35:35,-4.2714,-81.2147,61.95,87,41,12.8
221,Aklavik,CA,2022-09-06 01:35:35,68.2191,-135.0107,40.06,72,97,17.83
222,La Rioja,ES,2022-09-06 01:35:35,42.25,-2.5,56.98,52,0,5.53
223,Arman,RU,2022-09-06 01:35:36,59.7,150.1667,57.02,59,1,5.7
224,Nuuk,GL,2022-09-06 01:35:22,64.1835,-51.7216,41.61,93,75,17.27
225,Yulara,AU,2022-09-06 01:35:36,-25.2406,130.9889,66.54,34,99,6.2
226,La Ronge,CA,2022-09-06 01:35:37,55.1001,-105.2842,68.25,45,100,17.27
227,Waynesville,US,2022-09-06 01:35:37,35.4887,-82.9887,69.73,97,99,2.13
228,Zakharovo,RU,2022-09-06 01:35:37,54.366,39.2792,44.6,92,100,9.6
229,Ibimirim,BR,2022-09-06 01:36:37,-8.5406,-37.6903,65.84,86,10,13.35
230,Bilibino,RU,2022-09-06 01:36:38,68.0546,166.4372,37.17,85,100,4.85
231,Terrasini,IT,2022-09-06 01:36:38,38.146,13.0844,80.17,71,3,6.91
232,Deputatskiy,RU,2022-09-06 01:36:38,69.3,139.9,50.36,43,11,4.41
233,Fomboni,KM,2022-09-06 01:36:39,-12.28,43.7425,75.36,74,0,10.65
234,Ancud,CL,2022-09-06 01:36:39,-41.8697,-73.8203,49.23,79,100,14.7
235,Hamilton,US,2022-09-06 01:35:08,39.1834,-84.5333,74.77,93,75,0.0
236,Benalla,AU,2022-09-06 01:36:39,-36.55,145.9833,58.86,64,100,4.83
237,Oktyabrskiy,RU,2022-09-06 01:36:39,54.4815,53.471,42.17,80,100,3.27
238,Bethel,US,2022-09-06 01:36:40,41.3712,-73.414,73.27,90,100,0.0
239,Morondava,MG,2022-09-06 01:36:40,-20.2833,44.2833,68.99,71,0,7.78
240,Peniche,PT,2022-09-06 01:36:40,39.3558,-9.3811,68.11,95,10,6.38
241,Lavrentiya,RU,2022-09-06 01:36:40,65.5833,-171.0,43.92,97,100,5.32
242,Barraute,CA,2022-09-06 01:36:41,48.4335,-77.6328,53.87,72,0,2.82
243,Veraval,IN,2022-09-06 01:36:41,20.9,70.3667,80.82,76,100,9.42
244,Shenjiamen,CN,2022-09-06 01:36:41,29.9576,122.298,76.69,73,35,14.54
245,Murray Bridge,AU,2022-09-06 01:36:41,-35.1167,139.2667,61.12,46,18,9.24
246,Encheng,CN,2022-09-06 01:36:42,22.1839,112.3026,89.96,37,100,3.4
247,Newport,GB,2022-09-06 01:36:20,51.5877,-2.9984,61.45,90,71,7.4
248,Kuusamo,FI,2022-09-06 01:36:42,65.9667,29.1833,44.64,93,0,4.61
249,Greenville,US,2022-09-06 01:36:28,35.6127,-77.3663,78.96,88,40,4.61
250,Mahibadhoo,MV,2022-09-06 01:36:42,3.7833,72.9667,79.88,82,100,18.12
251,Poum,NC,2022-09-06 01:36:42,-20.2333,164.0167,67.96,83,100,13.62
252,Kawalu,ID,2022-09-06 01:36:43,-7.3817,108.2082,79.79,74,66,3.56
253,Vieste,IT,2022-09-06 01:36:43,41.8825,16.175,73.9,66,1,6.89
254,San Pedro,PH,2022-09-06 01:36:43,14.35,121.0167,87.31,77,40,4.61
255,Fukue,JP,2022-09-06 01:36:44,32.6881,128.8419,77.36,83,75,14.97
256,Grand-Santi,GF,2022-09-06 01:36:44,4.25,-54.3833,75.0,87,100,3.0
257,Warner Robins,US,2022-09-06 01:36:44,32.621,-83.5999,80.76,88,40,8.05
258,Porto Novo,BJ,2022-09-06 01:36:44,6.4965,2.6036,76.82,93,51,4.43
259,Syamzha,RU,2022-09-06 01:36:45,60.0158,41.0614,42.4,96,100,4.59
260,San Patricio,US,2022-09-06 01:36:45,28.017,-97.5169,82.35,87,100,4.0
261,Srednekolymsk,RU,2022-09-06 01:36:45,67.45,153.6833,53.2,45,88,9.44
262,Kursavka,RU,2022-09-06 01:36:45,44.4564,42.5093,56.93,52,100,2.8
263,Oistins,BB,2022-09-06 01:36:46,13.0667,-59.5333,80.69,83,20,6.91
264,Dryden,CA,2022-09-06 01:36:46,49.7833,-92.7503,66.49,68,0,8.05
265,Hue,VN,2022-09-06 01:36:46,16.4667,107.6,82.51,83,75,4.61
266,Bambanglipuro,ID,2022-09-06 01:36:46,-7.95,110.2833,81.77,73,52,9.35
267,Cayenne,GF,2022-09-06 01:36:47,4.9333,-52.3333,80.64,83,100,3.44
268,Klimovo,RU,2022-09-06 01:36:47,52.3805,32.1923,37.98,92,15,6.64
269,Fayaoue,NC,2022-09-06 01:36:47,-20.65,166.5333,70.59,73,100,17.07
270,Stettler,CA,2022-09-06 01:36:48,52.3168,-112.7186,62.35,48,99,8.05
271,Oktyabrskoye,RU,2022-09-06 01:36:48,43.0645,44.7417,50.14,100,100,2.24
272,Mattru,SL,2022-09-06 01:36:48,7.6244,-11.8332,73.83,96,100,1.99
273,Pangnirtung,CA,2022-09-06 01:36:48,66.1451,-65.7125,36.9,98,100,3.56
274,Cravo Norte,CO,2022-09-06 01:36:49,6.3017,-70.2041,74.14,85,89,3.74
