City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Caledon,ZA,-34.23,19.4265,51.06,93,0,5.84,clear sky
304,Digby,CA,44.6169,-65.7655,72.55,54,0,9.37,clear sky
305,Caetite,BR,-14.0694,-42.475,70.57,57,68,14.52,broken clouds
306,Yamada,JP,39.4667,141.95,70.36,87,100,6.55,overcast clouds
307,Port Hardy,CA,50.6996,-127.4199,62.78,63,75,11.5,broken clouds
308,Kaitangata,NZ,-46.2817,169.8464,41.25,89,100,2.66,overcast clouds
309,Oistins,BB,13.0667,-59.5333,87.89,74,20,11.5,few clouds
310,Atar,MR,20.5169,-13.0499,102.58,15,13,12.5,few clouds
311,Rovaniemi,FI,66.5,25.7167,44.01,65,100,2.3,overcast clouds
312,Shostka,UA,51.863,33.4698,49.26,50,95,8.48,overcast clouds
313,Wiltz,LU,49.9689,5.9319,67.1,77,91,2.51,overcast clouds
314,Srednekolymsk,RU,67.45,153.6833,50.07,54,98,7.45,overcast clouds
315,Lompoc,US,34.6391,-120.4579,102.78,37,0,13.8,clear sky
316,Phalaborwa,ZA,-23.943,31.1411,67.28,63,0,2.28,clear sky
317,Santander,ES,43.4647,-3.8044,71.46,69,20,3.44,few clouds
318,Kwidzyn,PL,53.7249,18.9311,57.27,68,100,9.15,overcast clouds
319,Jimo,CN,36.3897,120.4622,67.39,67,0,0.72,clear sky
320,Pusad,IN,19.9,77.5833,77.88,88,100,3.33,overcast clouds
321,Saint-Philippe,RE,-21.3585,55.7679,69.39,70,21,5.06,few clouds
322,Sibolga,ID,1.7427,98.7792,77.61,87,100,2.19,light rain
323,Sibut,CF,5.718,19.0739,73.2,94,98,1.14,light rain
324,Tinos,GR,37.5375,25.1634,75.96,64,0,21.85,clear sky
325,Aswan,EG,24.0934,32.907,89.76,25,0,10.87,clear sky
326,La Romana,DO,18.4273,-68.9728,89.96,70,20,4.61,few clouds
327,Esperance,AU,-33.8667,121.9,54.81,66,23,16.67,few clouds
328,Ilulissat,GL,69.2167,-51.1,39.22,93,75,6.91,broken clouds
329,Narrabri,AU,-30.3167,149.7833,56.52,70,100,5.99,light rain
330,Maldonado,UY,-34.6667,-54.9167,72.79,56,5,9.13,clear sky
331,Leh,IN,34.1667,77.5833,51.1,86,100,2.37,overcast clouds
332,Aksu,CN,41.1231,80.2644,75.78,18,0,1.5,clear sky
333,Nouadhibou,MR,20.931,-17.0347,76.98,73,14,19.57,sand
334,Chateauroux,FR,46.8167,1.7,62.6,88,75,23.02,mist
335,Lillooet,CA,50.6856,-121.942,80.2,24,0,4.03,clear sky
336,Sinnamary,GF,5.3833,-52.95,81.86,75,96,11.07,overcast clouds
337,Calvinia,ZA,-31.4707,19.776,61.77,20,0,2.84,clear sky
338,Mindif,CM,10.3976,14.4363,79.12,73,99,5.86,overcast clouds
339,Monrovia,LR,6.3005,-10.7969,74.97,87,100,9.17,light rain
340,Tocopilla,CL,-22.092,-70.1979,63.43,62,18,7.0,few clouds
341,Kieta,PG,-6.2167,155.6333,78.26,86,7,5.26,light rain
342,Shevchenkove,UA,49.6959,37.1735,49.68,50,31,6.64,scattered clouds
343,Carlsbad,US,33.1581,-117.3506,108.84,60,0,9.22,clear sky
344,Charters Towers,AU,-20.1,146.2667,60.26,97,23,7.85,few clouds
345,Miles City,US,46.4083,-105.8406,90.57,22,0,5.75,clear sky
346,Konevo,RU,62.1215,39.3192,39.56,93,85,6.02,overcast clouds
347,Dorado,PR,18.4588,-66.2677,86.47,89,75,9.22,moderate rain
